keywords,year,_objectid,_accessionnum,_title,_displaydate,_medium,_dimensions,_inscription,_markings,_artist,_provenance,_creditline,_classification,_watermarks,_imagelink,_uuid,id
South Carolina,2022,224788,2022.56.1,"Lang Syne Plantation, South Carolina",c. 1929,platinum print,"image/sheet: 20 × 15.3 cm (7 7/8 × 6 in.)
mount: 36.2 × 28.5 cm (14 1/4 × 11 1/4 in.)","signed by artist, lower right below image in graphite: Doris Ulmann; on verso of mount, by unknown hand, upper left in red crayon perpendicular: 421; upper right in graphite: EL78.93; bottom right: DU.0101.Z",,Doris Ulmann,"(Lieberman & Saul Gallery, New York); Paul Allaire Collection; (sale, Christie’s, New York, 1 October 2019, lot 101); (Fraenkel Gallery, San Francisco), 2019; NGA purchase, 2022.",R. K. Mellon Family Foundation,Photograph,,https://api.nga.gov/iiif/b56e622d-7168-452b-a586-b005444b985c/full/full/0/default.jpg,b56e622d-7168-452b-a586-b005444b985c,b56e622d-7168-452b-a586-b005444b985c
portrait,2022,223924,2022.55.9,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/394ee80c-7523-40c6-af81-45f858f220e0/full/full/0/default.jpg,394ee80c-7523-40c6-af81-45f858f220e0,394ee80c-7523-40c6-af81-45f858f220e0
portrait,2022,224000,2022.55.85,"Washington, DC",1988,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/3362fbb6-b539-4a7d-8f1e-ee06b6c9986b/full/full/0/default.jpg,3362fbb6-b539-4a7d-8f1e-ee06b6c9986b,3362fbb6-b539-4a7d-8f1e-ee06b6c9986b
Woman,2022,223999,2022.55.84,"Washington, DC",1988,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/ca5c781d-1a89-4a8b-b01c-ecc030af1197/full/full/0/default.jpg,ca5c781d-1a89-4a8b-b01c-ecc030af1197,ca5c781d-1a89-4a8b-b01c-ecc030af1197
portrait,2022,223998,2022.55.83,"Washington, DC",1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/a07840c7-64af-415d-9fb8-079fae1d9429/full/full/0/default.jpg,a07840c7-64af-415d-9fb8-079fae1d9429,a07840c7-64af-415d-9fb8-079fae1d9429
portrait,2022,223997,2022.55.82,"Washington, DC",1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/c064fdeb-a547-4c95-80b1-a18429469cfc/full/full/0/default.jpg,c064fdeb-a547-4c95-80b1-a18429469cfc,c064fdeb-a547-4c95-80b1-a18429469cfc
Child,2022,223996,2022.55.81,"Washington, DC",1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/863cc801-95ba-4f7f-9b2b-831ccb29780b/full/full/0/default.jpg,863cc801-95ba-4f7f-9b2b-831ccb29780b,863cc801-95ba-4f7f-9b2b-831ccb29780b
Child,2022,223995,2022.55.80,Untitled,1987–1988,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/e1512836-6666-420b-b2bb-9764177df207/full/full/0/default.jpg,e1512836-6666-420b-b2bb-9764177df207,e1512836-6666-420b-b2bb-9764177df207
Woman,2022,223923,2022.55.8,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/dcea36e6-0175-499c-a84c-a32cd50a1ff7/full/full/0/default.jpg,dcea36e6-0175-499c-a84c-a32cd50a1ff7,dcea36e6-0175-499c-a84c-a32cd50a1ff7
Woman,2022,223994,2022.55.79,Untitled,1987–1988,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/0a921aab-83c8-419e-8d03-6b1a14ba84c6/full/full/0/default.jpg,0a921aab-83c8-419e-8d03-6b1a14ba84c6,0a921aab-83c8-419e-8d03-6b1a14ba84c6
Woman,2022,223993,2022.55.78,Seattle,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/813eb036-5790-47fd-a4bd-7594549b0c69/full/full/0/default.jpg,813eb036-5790-47fd-a4bd-7594549b0c69,813eb036-5790-47fd-a4bd-7594549b0c69
Woman,2022,223992,2022.55.77,"Washington, DC",1988,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/2298614a-3a04-409e-8d97-1854c4a03167/full/full/0/default.jpg,2298614a-3a04-409e-8d97-1854c4a03167,2298614a-3a04-409e-8d97-1854c4a03167
Woman,2022,223991,2022.55.76,Untitled,1987–1988,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/a9057f5e-851b-4dc3-9080-af459637453b/full/full/0/default.jpg,a9057f5e-851b-4dc3-9080-af459637453b,a9057f5e-851b-4dc3-9080-af459637453b
portrait,2022,223990,2022.55.75,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/0ced4da0-6d0c-4f1e-b526-578a5f0fced7/full/full/0/default.jpg,0ced4da0-6d0c-4f1e-b526-578a5f0fced7,0ced4da0-6d0c-4f1e-b526-578a5f0fced7
Woman,2022,223989,2022.55.74,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/d2853589-922d-457e-ad8d-ca4328b9fabb/full/full/0/default.jpg,d2853589-922d-457e-ad8d-ca4328b9fabb,d2853589-922d-457e-ad8d-ca4328b9fabb
Flag,2022,223988,2022.55.73,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/a9888218-df34-43b0-85d8-62127a3f9779/full/full/0/default.jpg,a9888218-df34-43b0-85d8-62127a3f9779,a9888218-df34-43b0-85d8-62127a3f9779
portrait,2022,223987,2022.55.72,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/ef53efdd-c3cc-423d-9954-e3e2dbc6b209/full/full/0/default.jpg,ef53efdd-c3cc-423d-9954-e3e2dbc6b209,ef53efdd-c3cc-423d-9954-e3e2dbc6b209
Woman,2022,223986,2022.55.71,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/b9a1b5aa-6f8b-4be3-9b72-5a21ce7b1749/full/full/0/default.jpg,b9a1b5aa-6f8b-4be3-9b72-5a21ce7b1749,b9a1b5aa-6f8b-4be3-9b72-5a21ce7b1749
Child,2022,223985,2022.55.70,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/a357b7ce-ffea-498d-9490-f75f70768527/full/full/0/default.jpg,a357b7ce-ffea-498d-9490-f75f70768527,a357b7ce-ffea-498d-9490-f75f70768527
Woman,2022,223922,2022.55.7,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/1d9ebef1-81d3-4743-9640-a8da94e56b12/full/full/0/default.jpg,1d9ebef1-81d3-4743-9640-a8da94e56b12,1d9ebef1-81d3-4743-9640-a8da94e56b12
portrait,2022,223984,2022.55.69,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/3b40feb5-c5e2-446b-94ee-579ae23b2ac2/full/full/0/default.jpg,3b40feb5-c5e2-446b-94ee-579ae23b2ac2,3b40feb5-c5e2-446b-94ee-579ae23b2ac2
Woman,2022,223983,2022.55.68,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/5cdd15d2-fa45-4e05-90c3-79467ea5d2e2/full/full/0/default.jpg,5cdd15d2-fa45-4e05-90c3-79467ea5d2e2,5cdd15d2-fa45-4e05-90c3-79467ea5d2e2
portrait,2022,223982,2022.55.67,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/d220402e-3f91-479a-9961-c899832638ff/full/full/0/default.jpg,d220402e-3f91-479a-9961-c899832638ff,d220402e-3f91-479a-9961-c899832638ff
portrait,2022,223981,2022.55.66,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/7b4ad1a9-9a1e-41d2-9ff2-0030f6443df0/full/full/0/default.jpg,7b4ad1a9-9a1e-41d2-9ff2-0030f6443df0,7b4ad1a9-9a1e-41d2-9ff2-0030f6443df0
portrait,2022,223980,2022.55.65,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/c79ebd61-07ea-46b1-9fbb-01271c233dd6/full/full/0/default.jpg,c79ebd61-07ea-46b1-9fbb-01271c233dd6,c79ebd61-07ea-46b1-9fbb-01271c233dd6
portrait,2022,223979,2022.55.64,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/48567fb7-5580-4f11-97e0-560ff87aaa10/full/full/0/default.jpg,48567fb7-5580-4f11-97e0-560ff87aaa10,48567fb7-5580-4f11-97e0-560ff87aaa10
portrait,2022,223978,2022.55.63,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/e6efa282-665d-4ff3-8315-07a0a2281449/full/full/0/default.jpg,e6efa282-665d-4ff3-8315-07a0a2281449,e6efa282-665d-4ff3-8315-07a0a2281449
Woman,2022,223977,2022.55.62,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/1d136abf-3365-4d5d-9272-ca37b67ec99f/full/full/0/default.jpg,1d136abf-3365-4d5d-9272-ca37b67ec99f,1d136abf-3365-4d5d-9272-ca37b67ec99f
portrait,2022,223976,2022.55.61,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/38708ab5-fe1c-4db6-adfe-9817071837a0/full/full/0/default.jpg,38708ab5-fe1c-4db6-adfe-9817071837a0,38708ab5-fe1c-4db6-adfe-9817071837a0
portrait,2022,223975,2022.55.60,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/b5a4506f-1ca5-4196-9907-972589d2effb/full/full/0/default.jpg,b5a4506f-1ca5-4196-9907-972589d2effb,b5a4506f-1ca5-4196-9907-972589d2effb
portrait,2022,223921,2022.55.6,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/4fe1462a-c740-4889-9ec7-d6c4e04ed3dc/full/full/0/default.jpg,4fe1462a-c740-4889-9ec7-d6c4e04ed3dc,4fe1462a-c740-4889-9ec7-d6c4e04ed3dc
portrait,2022,223974,2022.55.59,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/f6587d5a-02df-4ae4-8c1b-e013336aa23f/full/full/0/default.jpg,f6587d5a-02df-4ae4-8c1b-e013336aa23f,f6587d5a-02df-4ae4-8c1b-e013336aa23f
portrait,2022,223973,2022.55.58,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/a82d5029-0dd1-4177-835f-ee30e9d647aa/full/full/0/default.jpg,a82d5029-0dd1-4177-835f-ee30e9d647aa,a82d5029-0dd1-4177-835f-ee30e9d647aa
portrait,2022,223972,2022.55.57,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/13104f4d-5eb8-4119-9238-ede05b214ab2/full/full/0/default.jpg,13104f4d-5eb8-4119-9238-ede05b214ab2,13104f4d-5eb8-4119-9238-ede05b214ab2
Woman,2022,223971,2022.55.56,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/caccf1ae-bff0-4ece-ac5b-abc5a85b2284/full/full/0/default.jpg,caccf1ae-bff0-4ece-ac5b-abc5a85b2284,caccf1ae-bff0-4ece-ac5b-abc5a85b2284
Woman,2022,223970,2022.55.55,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/efb376da-8c4d-422c-89e0-9d8120d1ef34/full/full/0/default.jpg,efb376da-8c4d-422c-89e0-9d8120d1ef34,efb376da-8c4d-422c-89e0-9d8120d1ef34
portrait,2022,223969,2022.55.54,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/b16af65d-c8f9-4403-b3ed-a475d5993ec9/full/full/0/default.jpg,b16af65d-c8f9-4403-b3ed-a475d5993ec9,b16af65d-c8f9-4403-b3ed-a475d5993ec9
portrait,2022,223968,2022.55.53,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/7dc7ba34-4ee9-44f8-a957-f77236f8e376/full/full/0/default.jpg,7dc7ba34-4ee9-44f8-a957-f77236f8e376,7dc7ba34-4ee9-44f8-a957-f77236f8e376
portrait,2022,223967,2022.55.52,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/05fd7801-d28e-4f25-84e8-cc2365d4639b/full/full/0/default.jpg,05fd7801-d28e-4f25-84e8-cc2365d4639b,05fd7801-d28e-4f25-84e8-cc2365d4639b
portrait,2022,223966,2022.55.51,Untitled,1987–1988,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/3b718166-9a03-4f85-ae61-22ba0a0c905c/full/full/0/default.jpg,3b718166-9a03-4f85-ae61-22ba0a0c905c,3b718166-9a03-4f85-ae61-22ba0a0c905c
Woman,2022,223965,2022.55.50,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/09075a73-0f09-465a-81fe-ab20b048e7d1/full/full/0/default.jpg,09075a73-0f09-465a-81fe-ab20b048e7d1,09075a73-0f09-465a-81fe-ab20b048e7d1
Hand,2022,223920,2022.55.5,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/7d0a1f92-6a6a-47f9-bcd3-5362eb4fe4c7/full/full/0/default.jpg,7d0a1f92-6a6a-47f9-bcd3-5362eb4fe4c7,7d0a1f92-6a6a-47f9-bcd3-5362eb4fe4c7
Woman,2022,223964,2022.55.49,New York,1987,gelatin silver print,"image: 80.01 × 80.01 cm (31 1/2 × 31 1/2 in.)
sheet: 108.59 × 101.6 cm (42 3/4 × 40 in.)","on verso, signed by artist, lower right in graphite: Rosalind Solomon",,Rosalind Fox Solomon,"Rosalind Fox Solomon, New York; Private collection; gift to NGA (through Paul Mahon, Washington, DC), 2022.",Gift of Annie and Paul Mahon,Photograph,,https://api.nga.gov/iiif/a37590e3-a152-408e-8bbe-ca0994fdeca0/full/full/0/default.jpg,a37590e3-a152-408e-8bbe-ca0994fdeca0,a37590e3-a152-408e-8bbe-ca0994fdeca0
